topic_id,topic_words,topic_probs
0,"voisin, hum, manger, quitte, nourrir, dangereux, plat, pragmatique, pain, litre, léger, heu, sûrement, médicament, fibre, incontestable, taper, allah, lentement, opter","0.1141, 0.0501, 0.0286, 0.0254, 0.0224, 0.0189, 0.0184, 0.0169, 0.0139, 0.0138, 0.0124, 0.0107, 0.0104, 0.009, 0.0083, 0.0071, 0.0067, 0.0065, 0.0062, 0.006"
1,"pouvoir, plus, faire, être, devoir, comme, autre, aussi, français, sans, tout, ce, celer, bien, où, moins, donc, depuis, grand, an","0.0506, 0.037, 0.0245, 0.023, 0.0211, 0.0179, 0.0141, 0.0141, 0.0141, 0.0137, 0.0131, 0.0126, 0.0121, 0.0117, 0.0113, 0.0111, 0.0107, 0.0107, 0.0099, 0.009"
2,"ivoirien, inutile, arabe, diviser, maintien, fameux, débarrasser, paisible, vertueux, emporter, autrefoi, impacter, palais, suppose, sénégal, élection, ivoir, côte, présidentiel, uni","0.1344, 0.1094, 0.0566, 0.0347, 0.0259, 0.0243, 0.0223, 0.0173, 0.0171, 0.0165, 0.0076, 0.006, 0.005, 0.0023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
3,"lecteur, ider, congrès, douloureux, syndicat, exemplaire, magistrat, jésus, syndical, statutaire, cns, millimètre, sceal, salarial, pension, carfo, macky, fcfer, conférence, jet","0.0384, 0.0331, 0.0298, 0.0238, 0.0215, 0.0133, 0.0099, 0.0088, 0.0084, 0.0056, 0.0044, 0.0042, 0.0037, 0.0034, 0.0011, 1e-04, 0.0, 0.0, 0.0, 0.0"
4,"soldat, bravo, félicitation, patriote, some, massif, coeur, vaincre, mort, blais, blaise, franchement, impôt, arrière, comparaison, crier, visionnaire, patrie, disperser, roch","0.0897, 0.0818, 0.0458, 0.0344, 0.0237, 0.0221, 0.0198, 0.0195, 0.0177, 0.0162, 0.0157, 0.0156, 0.0143, 0.0137, 0.0099, 0.0097, 0.0091, 0.0089, 0.0083, 0.0081"
5,"france, sud, européen, nord, quitter, chercher, pauvre, user, sol, amériqu, maison, chasser, sérieux, réaction, vieux, signe, normal, rentrer, ouest, sang","0.2451, 0.045, 0.0424, 0.0328, 0.0284, 0.0277, 0.0218, 0.021, 0.0196, 0.0168, 0.0165, 0.0164, 0.0162, 0.0161, 0.0149, 0.0119, 0.0114, 0.0109, 0.0108, 0.0108"
6,"2, 1, 3, million, 000, milliard, mr, 4, 5, franc, cfa, 6, 10, fcfa, lever, environ, 8, 80, 200, 500","0.0941, 0.0763, 0.066, 0.0518, 0.0511, 0.0502, 0.0456, 0.0412, 0.039, 0.0355, 0.0314, 0.0267, 0.0218, 0.0216, 0.0185, 0.0166, 0.0137, 0.013, 0.0111, 0.0111"
7,"web, macron, site, europe, ville, millier, rebelle, maître, fils, police, rejoindre, kilomètre, musulman, saint, demi, nuire, acheter, voici, 2000, quartier","0.072, 0.0688, 0.058, 0.0434, 0.0322, 0.0302, 0.0277, 0.0263, 0.0192, 0.0191, 0.0174, 0.0159, 0.0158, 0.0151, 0.0146, 0.0138, 0.0131, 0.0129, 0.0125, 0.0121"
8,"national, public, sport, général, équipe, langue, rapport, 2023, prix, ministère, niveau, gestion, titre, service, 2022, conseil, emmanuel, discipline, fonction, 20","0.034, 0.021, 0.0183, 0.0144, 0.0136, 0.013, 0.0123, 0.0117, 0.0106, 0.0103, 0.0092, 0.0089, 0.0082, 0.008, 0.0079, 0.0078, 0.0077, 0.0075, 0.0074, 0.0072"
9,"président, mali, état, niger, etat, gouvernement, ministre, malien, ae, étranger, chef, nouveau, unir, sall, sahel, entrer, suspension, affaire, conseil, tchad","0.0662, 0.0439, 0.038, 0.0314, 0.0311, 0.0288, 0.0279, 0.0259, 0.0228, 0.0191, 0.019, 0.0162, 0.0158, 0.0147, 0.0144, 0.0143, 0.0139, 0.013, 0.0129, 0.0128"
